,cname,avgscrread,avgscreng,avgscrmath,avgscrsci,numtsttakr
1078,Los Angeles,14.0,11.0,15.0,15.0,25.0
1085,Los Angeles,27.0,28.0,24.0,25.0,19.0
1086,Alameda,22.0,22.0,22.0,22.0,31.0
1087,Ventura,27.0,26.0,26.0,25.0,154.0
1088,Orange,25.0,25.0,24.0,24.0,237.0
1089,San Luis Obispo,22.0,21.0,21.0,23.0,23.0
1090,Los Angeles,19.0,17.0,18.0,19.0,68.0
1091,Riverside,23.0,21.0,22.0,22.0,58.0
1092,Ventura,26.0,26.0,24.0,24.0,15.0
1093,Riverside,20.0,18.0,19.0,18.0,63.0
1096,Kern,22.0,20.0,20.0,21.0,16.0
1097,Los Angeles,24.0,23.0,24.0,23.0,73.0
1098,Los Angeles,27.0,27.0,26.0,25.0,52.0
1100,Monterey,19.0,17.0,18.0,20.0,42.0
1102,Monterey,20.0,19.0,19.0,19.0,50.0
1105,Placer,26.0,24.0,25.0,25.0,32.0
1111,Contra Costa,27.0,27.0,26.0,26.0,180.0
1113,Los Angeles,20.0,18.0,20.0,19.0,46.0
1115,Orange,29.0,30.0,29.0,29.0,234.0
1116,Los Angeles,19.0,17.0,17.0,18.0,86.0
1117,Riverside,20.0,18.0,19.0,19.0,15.0
1118,Orange,19.0,17.0,18.0,19.0,42.0
1120,Marin,23.0,23.0,23.0,22.0,88.0
1121,Riverside,19.0,17.0,20.0,19.0,169.0
1122,Santa Clara,23.0,22.0,23.0,22.0,37.0
1123,San Bernardino,20.0,18.0,20.0,19.0,154.0
1124,Ventura,29.0,29.0,27.0,27.0,152.0
1126,El Dorado,26.0,26.0,27.0,26.0,201.0
1129,Stanislaus,25.0,24.0,24.0,23.0,37.0
1130,Alameda,23.0,22.0,25.0,22.0,18.0
1131,Alameda,19.0,19.0,19.0,19.0,74.0
1134,Alameda,26.0,26.0,21.0,23.0,30.0
1135,Alameda,26.0,25.0,25.0,24.0,131.0
1136,Alameda,17.0,15.0,19.0,18.0,53.0
1137,Placer,26.0,25.0,25.0,25.0,74.0
1142,Orange,23.0,23.0,22.0,24.0,19.0
1144,San Diego,21.0,19.0,20.0,20.0,76.0
1145,San Francisco,17.0,16.0,17.0,18.0,38.0
1146,Orange,29.0,29.0,25.0,26.0,190.0
1151,San Diego,23.0,22.0,22.0,22.0,98.0
1152,San Bernardino,19.0,17.0,19.0,18.0,81.0
1166,Fresno,16.0,15.0,16.0,16.0,33.0
1167,San Diego,19.0,18.0,18.0,19.0,101.0
1171,Santa Barbara,25.0,26.0,25.0,25.0,49.0
1172,Stanislaus,23.0,22.0,23.0,22.0,18.0
1173,Glenn,23.0,21.0,19.0,21.0,37.0
1174,Tulare,17.0,15.0,17.0,17.0,85.0
1175,Butte,21.0,19.0,20.0,21.0,19.0
1176,Los Angeles,18.0,17.0,18.0,19.0,69.0
1178,San Diego,22.0,21.0,21.0,20.0,67.0
1180,Orange,31.0,32.0,30.0,30.0,56.0
1181,Ventura,21.0,22.0,22.0,21.0,31.0
1182,Merced,20.0,20.0,19.0,19.0,39.0
1186,Santa Cruz,29.0,29.0,27.0,27.0,48.0
1187,Monterey,26.0,27.0,26.0,26.0,31.0
1188,San Bernardino,16.0,16.0,16.0,17.0,77.0
1192,Orange,24.0,24.0,25.0,24.0,36.0
1193,Ventura,22.0,20.0,21.0,21.0,16.0
1194,Santa Cruz,18.0,16.0,17.0,18.0,71.0
1195,Los Angeles,28.0,28.0,26.0,26.0,207.0
1196,Riverside,26.0,24.0,23.0,24.0,84.0
1197,Riverside,19.0,18.0,19.0,19.0,119.0
1198,Los Angeles,21.0,21.0,20.0,21.0,31.0
1199,Los Angeles,19.0,18.0,17.0,18.0,24.0
1200,Santa Clara,28.0,28.0,28.0,28.0,231.0
1202,Riverside,21.0,19.0,20.0,20.0,73.0
1204,Los Angeles,26.0,27.0,26.0,25.0,208.0
1205,Los Angeles,28.0,28.0,27.0,27.0,217.0
1208,Butte,23.0,21.0,24.0,23.0,22.0
1209,Los Angeles,21.0,21.0,21.0,22.0,61.0
1211,Fresno,18.0,16.0,18.0,18.0,33.0
1212,Los Angeles,22.0,20.0,20.0,20.0,47.0
1214,San Luis Obispo,23.0,22.0,22.0,22.0,89.0
1218,Riverside,22.0,20.0,21.0,20.0,37.0
1219,Stanislaus,24.0,22.0,21.0,21.0,15.0
1220,Los Angeles,16.0,14.0,16.0,15.0,20.0
1221,Riverside,17.0,16.0,17.0,17.0,152.0
1223,Sonoma,25.0,24.0,23.0,24.0,78.0
1226,Los Angeles,19.0,17.0,18.0,18.0,89.0
1229,Alameda,30.0,32.0,29.0,29.0,111.0
1230,Santa Clara,26.0,26.0,27.0,26.0,48.0
1231,Colusa,19.0,17.0,19.0,19.0,16.0
1232,Sonoma,22.0,20.0,20.0,21.0,47.0
1234,Contra Costa,21.0,21.0,21.0,21.0,33.0
1235,Los Angeles,18.0,17.0,20.0,18.0,88.0
1236,Santa Clara,27.0,26.0,25.0,25.0,92.0
1237,Yolo,20.0,19.0,20.0,21.0,80.0
1238,Santa Barbara,20.0,19.0,21.0,19.0,92.0
1239,Contra Costa,19.0,19.0,19.0,19.0,155.0
1245,Placer,24.0,22.0,23.0,23.0,64.0
1246,Sacramento,26.0,25.0,27.0,25.0,162.0
1247,Butte,23.0,23.0,24.0,23.0,84.0
1250,San Diego,26.0,25.0,24.0,25.0,157.0
1252,Riverside,23.0,21.0,22.0,21.0,42.0
1253,Los Angeles,25.0,24.0,24.0,24.0,137.0
1254,Los Angeles,18.0,18.0,18.0,18.0,58.0
1255,El Dorado,25.0,24.0,25.0,25.0,105.0
1256,Los Angeles,22.0,21.0,22.0,21.0,38.0
1257,Tulare,19.0,18.0,19.0,19.0,88.0
1260,San Diego,24.0,23.0,24.0,23.0,195.0
1261,San Diego,21.0,20.0,20.0,20.0,100.0
1264,Santa Clara,26.0,26.0,25.0,26.0,65.0
1270,Los Angeles,16.0,16.0,17.0,17.0,52.0
1271,Los Angeles,17.0,16.0,18.0,18.0,83.0
1272,Los Angeles,15.0,15.0,17.0,17.0,68.0
1273,Los Angeles,18.0,17.0,18.0,17.0,93.0
1274,Los Angeles,16.0,15.0,17.0,16.0,22.0
1275,Los Angeles,16.0,15.0,17.0,17.0,89.0
1277,Los Angeles,26.0,25.0,23.0,24.0,68.0
1279,Los Angeles,21.0,21.0,19.0,20.0,48.0
1280,San Diego,23.0,22.0,23.0,23.0,80.0
1281,Riverside,20.0,18.0,19.0,19.0,127.0
1283,San Diego,25.0,25.0,26.0,25.0,189.0
1284,San Diego,23.0,22.0,23.0,22.0,63.0
1285,Ventura,25.0,25.0,23.0,24.0,30.0
1286,Sonoma,20.0,18.0,20.0,20.0,38.0
1287,San Bernardino,23.0,22.0,22.0,22.0,77.0
1289,Los Angeles,16.0,15.0,17.0,17.0,43.0
1291,Riverside,22.0,20.0,19.0,20.0,36.0
1292,Riverside,20.0,19.0,19.0,19.0,37.0
1294,Tehama,20.0,19.0,20.0,20.0,151.0
1295,San Bernardino,23.0,22.0,23.0,22.0,92.0
1296,San Bernardino,28.0,27.0,28.0,27.0,46.0
1297,Los Angeles,24.0,24.0,23.0,24.0,267.0
1299,Marin,28.0,28.0,27.0,27.0,176.0
1300,Tulare,23.0,23.0,22.0,23.0,74.0
1301,Fresno,20.0,18.0,18.0,19.0,105.0
1302,Fresno,17.0,16.0,18.0,17.0,31.0
1303,Los Angeles,23.0,24.0,20.0,21.0,40.0
1305,Los Angeles,20.0,20.0,20.0,21.0,18.0
1306,San Bernardino,19.0,18.0,20.0,20.0,93.0
1308,Contra Costa,18.0,16.0,17.0,17.0,70.0
1309,Kern,19.0,17.0,18.0,19.0,54.0
1310,San Bernardino,25.0,24.0,22.0,24.0,26.0
1311,Sacramento,25.0,26.0,25.0,24.0,84.0
1312,Sacramento,20.0,19.0,20.0,20.0,28.0
1313,Ventura,22.0,22.0,22.0,22.0,37.0
1315,Sacramento,19.0,19.0,18.0,19.0,22.0
1316,San Joaquin,25.0,23.0,23.0,23.0,37.0
1317,Yolo,21.0,19.0,20.0,20.0,54.0
1320,San Diego,28.0,26.0,26.0,27.0,15.0
1321,Sutter,23.0,22.0,22.0,23.0,59.0
1324,Fresno,16.0,15.0,18.0,18.0,50.0
1326,San Bernardino,18.0,18.0,17.0,19.0,17.0
1327,Riverside,29.0,28.0,25.0,25.0,22.0
1329,Kern,20.0,18.0,20.0,20.0,54.0
1331,Placer,25.0,25.0,25.0,24.0,164.0
1333,San Joaquin,19.0,18.0,20.0,19.0,62.0
1335,Fresno,16.0,14.0,16.0,17.0,18.0
1337,Sonoma,17.0,16.0,18.0,18.0,89.0
1338,Los Angeles,26.0,25.0,25.0,24.0,51.0
1339,Sacramento,21.0,19.0,20.0,20.0,32.0
1340,Placer,23.0,22.0,22.0,22.0,110.0
1342,Ventura,25.0,25.0,24.0,25.0,55.0
1343,San Bernardino,25.0,26.0,25.0,25.0,133.0
1344,Riverside,17.0,17.0,17.0,18.0,74.0
1346,San Francisco,13.0,12.0,16.0,15.0,43.0
1347,Sacramento,17.0,16.0,17.0,17.0,144.0
1348,Orange,18.0,16.0,19.0,18.0,109.0
1349,San Diego,27.0,28.0,27.0,26.0,103.0
1350,Napa,25.0,26.0,22.0,23.0,28.0
1351,Monterey,22.0,21.0,21.0,21.0,137.0
1352,Orange,21.0,21.0,20.0,20.0,26.0
1353,San Benito,21.0,20.0,21.0,21.0,118.0
1354,San Bernardino,20.0,18.0,19.0,19.0,71.0
1355,Orange,26.0,26.0,25.0,25.0,310.0
1357,San Diego,25.0,24.0,23.0,24.0,99.0
1359,San Diego,21.0,20.0,19.0,20.0,19.0
1363,San Diego,27.0,27.0,26.0,25.0,217.0
1364,Los Angeles,24.0,23.0,24.0,23.0,42.0
1365,Los Angeles,18.0,17.0,18.0,18.0,75.0
1366,Los Angeles,21.0,20.0,21.0,21.0,54.0
1367,San Bernardino,19.0,19.0,19.0,20.0,24.0
1368,Riverside,19.0,19.0,18.0,18.0,30.0
1373,Sacramento,19.0,17.0,18.0,18.0,32.0
1374,Orange,26.0,26.0,25.0,25.0,199.0
1375,Alameda,22.0,21.0,21.0,22.0,78.0
1376,Alameda,20.0,19.0,20.0,19.0,48.0
1377,Santa Cruz,26.0,26.0,23.0,25.0,20.0
1379,San Luis Obispo,26.0,25.0,25.0,24.0,139.0
1380,San Diego,25.0,24.0,23.0,24.0,244.0
1381,Santa Barbara,25.0,25.0,24.0,25.0,106.0
1382,Marin,26.0,25.0,25.0,24.0,107.0
1383,Los Angeles,28.0,29.0,29.0,27.0,95.0
1384,San Mateo,28.0,28.0,27.0,27.0,73.0
1386,San Diego,22.0,20.0,21.0,21.0,98.0
1388,Los Angeles,21.0,20.0,20.0,20.0,49.0
1389,Marin,24.0,23.0,23.0,22.0,84.0
1390,Contra Costa,27.0,27.0,26.0,26.0,282.0
1391,San Diego,18.0,17.0,19.0,18.0,139.0
1392,Fresno,21.0,19.0,20.0,20.0,61.0
1393,Orange,17.0,16.0,18.0,18.0,85.0
1394,Santa Barbara,25.0,24.0,23.0,23.0,126.0
1395,Santa Clara,26.0,26.0,26.0,25.0,53.0
1398,Santa Cruz,26.0,25.0,26.0,25.0,50.0
1399,Los Angeles,21.0,20.0,20.0,20.0,114.0
1400,Santa Barbara,18.0,17.0,19.0,19.0,93.0
1401,Los Angeles,27.0,26.0,25.0,25.0,244.0
1402,Ventura,20.0,18.0,19.0,20.0,126.0
1403,Riverside,24.0,24.0,23.0,23.0,18.0
1404,Sonoma,27.0,25.0,25.0,24.0,87.0
1405,Ventura,28.0,27.0,25.0,26.0,26.0
1406,Santa Clara,26.0,26.0,25.0,25.0,67.0
1407,Santa Barbara,26.0,24.0,22.0,22.0,50.0
1408,San Diego,21.0,21.0,23.0,21.0,47.0
1409,Los Angeles,18.0,16.0,17.0,17.0,24.0
1410,Orange,18.0,18.0,20.0,20.0,29.0
1411,Riverside,23.0,22.0,22.0,22.0,179.0
1412,Santa Clara,31.0,32.0,31.0,30.0,121.0
1413,Los Angeles,25.0,23.0,24.0,23.0,121.0
1417,Orange,20.0,20.0,19.0,19.0,42.0
1427,Los Angeles,20.0,21.0,21.0,21.0,40.0
1428,Los Angeles,19.0,18.0,19.0,18.0,46.0
1429,Santa Cruz,27.0,26.0,25.0,25.0,60.0
1430,San Diego,28.0,28.0,27.0,27.0,203.0
1431,Monterey,21.0,19.0,20.0,20.0,34.0
1432,Orange,17.0,16.0,18.0,17.0,480.0
1435,San Mateo,24.0,23.0,23.0,23.0,122.0
1436,San Diego,23.0,23.0,23.0,23.0,35.0
1437,San Bernardino,22.0,21.0,23.0,22.0,56.0
1438,Riverside,18.0,17.0,17.0,18.0,34.0
1440,Kern,21.0,19.0,20.0,20.0,44.0
1444,Shasta,27.0,26.0,25.0,25.0,46.0
1445,Sacramento,23.0,21.0,22.0,22.0,82.0
1446,Los Angeles,25.0,25.0,23.0,24.0,47.0
1452,San Joaquin,24.0,23.0,22.0,22.0,35.0
1456,Los Angeles,19.0,18.0,19.0,19.0,108.0
1458,Santa Clara,25.0,25.0,26.0,25.0,50.0
1461,San Bernardino,19.0,18.0,17.0,19.0,71.0
1462,Ventura,23.0,24.0,23.0,23.0,75.0
1463,Marin,28.0,28.0,25.0,25.0,84.0
1466,Alameda,22.0,21.0,20.0,20.0,66.0
1468,Los Angeles,23.0,22.0,22.0,21.0,34.0
1470,Monterey,18.0,16.0,17.0,18.0,69.0
1472,Sonoma,25.0,24.0,23.0,23.0,47.0
1474,Orange,24.0,23.0,23.0,23.0,68.0
1475,Santa Cruz,25.0,23.0,22.0,22.0,81.0
1476,Los Angeles,19.0,18.0,17.0,18.0,152.0
1477,Los Angeles,19.0,19.0,19.0,20.0,57.0
1479,Los Angeles,18.0,17.0,17.0,18.0,224.0
1480,Kern,18.0,18.0,20.0,19.0,31.0
1481,Los Angeles,25.0,25.0,26.0,25.0,139.0
1482,Los Angeles,23.0,23.0,22.0,23.0,17.0
1483,Los Angeles,28.0,27.0,27.0,27.0,93.0
1484,San Mateo,22.0,23.0,25.0,23.0,20.0
1486,El Dorado,23.0,22.0,22.0,22.0,54.0
1487,Imperial,18.0,17.0,19.0,19.0,116.0
1488,San Diego,18.0,17.0,18.0,19.0,73.0
1489,San Joaquin,19.0,18.0,19.0,19.0,18.0
1490,San Diego,24.0,23.0,23.0,24.0,125.0
1492,Los Angeles,19.0,19.0,18.0,19.0,44.0
1493,Kern,25.0,25.0,24.0,23.0,99.0
1495,San Joaquin,23.0,21.0,21.0,20.0,72.0
1500,San Bernardino,21.0,19.0,21.0,21.0,21.0
1503,San Bernardino,17.0,15.0,17.0,17.0,512.0
1505,San Mateo,21.0,21.0,20.0,22.0,43.0
1506,Santa Clara,20.0,20.0,20.0,20.0,38.0
1507,San Mateo,23.0,22.0,21.0,22.0,49.0
1508,Santa Clara,22.0,22.0,21.0,22.0,31.0
1511,Los Angeles,18.0,17.0,19.0,19.0,29.0
1512,Orange,26.0,27.0,27.0,26.0,119.0
1513,Fresno,18.0,17.0,17.0,18.0,120.0
1516,Los Angeles,16.0,15.0,16.0,15.0,48.0
1517,Sutter,25.0,22.0,24.0,23.0,22.0
1520,San Diego,20.0,19.0,19.0,20.0,96.0
1523,Los Angeles,20.0,18.0,19.0,19.0,45.0
1524,Los Angeles,19.0,19.0,20.0,19.0,15.0
1525,Los Angeles,24.0,23.0,22.0,23.0,80.0
1527,Kern,21.0,18.0,19.0,19.0,35.0
1528,Placer,26.0,26.0,25.0,25.0,45.0
1529,Riverside,19.0,17.0,18.0,19.0,28.0
1530,Marin,29.0,29.0,26.0,27.0,145.0
1534,Sonoma,27.0,27.0,26.0,25.0,24.0
1537,Riverside,26.0,25.0,22.0,23.0,20.0
1538,Riverside,23.0,22.0,22.0,23.0,215.0
1539,Riverside,21.0,20.0,20.0,20.0,63.0
1540,Los Angeles,27.0,27.0,27.0,26.0,90.0
1541,San Luis Obispo,24.0,24.0,22.0,23.0,69.0
1544,Marin,25.0,24.0,23.0,23.0,56.0
1545,San Mateo,27.0,26.0,25.0,26.0,23.0
1546,Orange,26.0,26.0,25.0,25.0,259.0
1550,San Diego,19.0,18.0,19.0,20.0,97.0
1552,Los Angeles,16.0,15.0,16.0,16.0,68.0
1554,Stanislaus,21.0,20.0,21.0,21.0,69.0
1555,Los Angeles,15.0,14.0,16.0,16.0,50.0
1557,Ventura,27.0,26.0,26.0,26.0,119.0
1559,San Joaquin,21.0,20.0,22.0,22.0,92.0
1561,Los Angeles,24.0,23.0,23.0,23.0,105.0
1562,San Diego,28.0,28.0,28.0,28.0,355.0
1563,Orange,26.0,26.0,26.0,25.0,152.0
1564,San Joaquin,24.0,24.0,23.0,23.0,60.0
1565,Fresno,15.0,14.0,15.0,15.0,19.0
1566,Trinity,24.0,24.0,23.0,23.0,15.0
1569,Orange,30.0,30.0,30.0,29.0,178.0
1570,Tulare,21.0,19.0,21.0,20.0,66.0
1571,Tulare,20.0,18.0,18.0,19.0,93.0
1572,Modoc,18.0,15.0,17.0,18.0,15.0
1573,Stanislaus,24.0,22.0,22.0,22.0,53.0
1575,Orange,21.0,18.0,20.0,20.0,164.0
1578,Los Angeles,18.0,16.0,18.0,18.0,21.0
1579,Mendocino,25.0,23.0,23.0,22.0,22.0
1581,Los Angeles,21.0,21.0,21.0,21.0,41.0
1582,El Dorado,24.0,23.0,22.0,22.0,48.0
1583,San Diego,27.0,27.0,26.0,26.0,115.0
1584,Fresno,28.0,28.0,25.0,26.0,86.0
1585,Orange,29.0,29.0,29.0,28.0,233.0
1586,Los Angeles,21.0,21.0,20.0,20.0,58.0
1588,Shasta,28.0,27.0,27.0,27.0,24.0
1589,San Bernardino,22.0,22.0,22.0,21.0,43.0
1590,Santa Clara,27.0,28.0,27.0,27.0,33.0
1592,Los Angeles,18.0,16.0,18.0,18.0,34.0
1593,San Bernardino,21.0,21.0,21.0,21.0,62.0
1598,Lake,18.0,16.0,17.0,17.0,18.0
1600,Solano,22.0,22.0,22.0,22.0,58.0
1602,Los Angeles,25.0,25.0,25.0,24.0,163.0
1603,Orange,23.0,22.0,24.0,23.0,173.0
1604,San Diego,25.0,24.0,24.0,24.0,85.0
1609,Los Angeles,21.0,20.0,19.0,20.0,30.0
1610,San Diego,22.0,21.0,21.0,22.0,50.0
1613,Sacramento,19.0,18.0,19.0,20.0,70.0
1614,Orange,18.0,17.0,18.0,18.0,66.0
1615,Los Angeles,26.0,22.0,20.0,22.0,20.0
1618,Riverside,22.0,21.0,21.0,21.0,36.0
1619,Los Angeles,15.0,15.0,17.0,17.0,82.0
1620,Los Angeles,26.0,26.0,25.0,25.0,97.0
1621,Solano,25.0,23.0,23.0,24.0,40.0
1623,Los Angeles,18.0,17.0,17.0,18.0,35.0
1624,Los Angeles,23.0,22.0,22.0,22.0,96.0
1625,Ventura,24.0,22.0,22.0,22.0,88.0
1627,San Joaquin,18.0,17.0,17.0,18.0,22.0
1630,San Bernardino,18.0,17.0,19.0,18.0,39.0
1632,Orange,25.0,26.0,25.0,25.0,85.0
1635,Napa,22.0,20.0,21.0,21.0,59.0
1640,Sacramento,26.0,27.0,26.0,26.0,107.0
1641,Riverside,18.0,17.0,18.0,18.0,121.0
1642,San Diego,23.0,21.0,21.0,22.0,60.0
1644,Riverside,24.0,22.0,23.0,22.0,165.0
1651,San Francisco,23.0,23.0,22.0,23.0,33.0
1653,Los Angeles,27.0,27.0,28.0,27.0,128.0
1655,Los Angeles,23.0,23.0,23.0,22.0,48.0
1656,Kern,19.0,18.0,20.0,20.0,71.0
1657,San Francisco,21.0,21.0,22.0,22.0,94.0
1659,Fresno,16.0,15.0,16.0,16.0,121.0
1660,Alameda,28.0,28.0,28.0,27.0,65.0
1662,Santa Cruz,17.0,16.0,18.0,18.0,110.0
1665,Los Angeles,18.0,17.0,18.0,18.0,35.0
1667,Sacramento,25.0,24.0,23.0,23.0,46.0
1668,Los Angeles,24.0,24.0,24.0,23.0,25.0
1669,Kern,20.0,18.0,20.0,20.0,51.0
1670,Los Angeles,25.0,26.0,25.0,25.0,123.0
1671,San Diego,25.0,24.0,23.0,23.0,49.0
1674,Los Angeles,27.0,27.0,26.0,26.0,182.0
1676,Shasta,24.0,21.0,21.0,23.0,23.0
1677,Riverside,19.0,18.0,18.0,19.0,72.0
1678,Riverside,26.0,25.0,23.0,24.0,21.0
1679,Orange,19.0,18.0,20.0,20.0,54.0
1680,Placer,26.0,24.0,21.0,24.0,32.0
1681,Ventura,27.0,28.0,26.0,26.0,146.0
1682,Orange,22.0,21.0,23.0,22.0,48.0
1683,Santa Clara,28.0,28.0,25.0,26.0,71.0
1684,San Mateo,24.0,25.0,25.0,24.0,28.0
1686,San Diego,28.0,29.0,28.0,27.0,212.0
1687,Yuba,23.0,21.0,21.0,22.0,18.0
1690,Los Angeles,31.0,31.0,30.0,29.0,55.0
1691,Placer,26.0,25.0,25.0,25.0,112.0
1692,Los Angeles,18.0,18.0,19.0,18.0,60.0
1693,Solano,24.0,23.0,24.0,23.0,30.0
1695,Santa Clara,17.0,16.0,18.0,18.0,106.0
1696,Los Angeles,20.0,18.0,19.0,19.0,52.0
1697,Los Angeles,26.0,25.0,24.0,24.0,110.0
1701,Santa Clara,26.0,25.0,24.0,25.0,55.0
1703,San Bernardino,18.0,18.0,18.0,18.0,34.0
1705,Los Angeles,24.0,23.0,22.0,22.0,75.0
1706,Sonoma,23.0,22.0,21.0,22.0,116.0
1708,Kern,18.0,18.0,18.0,18.0,126.0
1709,Orange,27.0,27.0,27.0,26.0,174.0
1710,Placer,25.0,24.0,24.0,25.0,132.0
1711,Tulare,18.0,18.0,19.0,18.0,30.0
1712,Yolo,19.0,18.0,18.0,19.0,59.0
1713,Los Angeles,18.0,17.0,17.0,18.0,68.0
1714,San Mateo,24.0,23.0,23.0,23.0,106.0
1716,Contra Costa,23.0,21.0,22.0,22.0,18.0
1717,Orange,25.0,24.0,25.0,24.0,104.0
1718,Madera,22.0,21.0,22.0,22.0,33.0
1721,Siskiyou,23.0,20.0,21.0,21.0,38.0
1722,Sutter,23.0,21.0,22.0,22.0,56.0
1725,San Bernardino,24.0,22.0,22.0,22.0,61.0
